Name,Role,Organization,Jurisdiction or case,Player type,Evidence-based signal,Confidence,Source
Billy Powell,District 2 Commissioner,Hall County Board of Commissioners,Hall County,County decision-maker,Current board roster,High,https://www.hallcounty.org/Directory.aspx?DID=93
Gregg Poole,District 3 Commissioner,Hall County Board of Commissioners,Hall County,County decision-maker,Current board roster,High,https://www.hallcounty.org/Directory.aspx?DID=93
Jeff Stowe,District 4 Commissioner,Hall County Board of Commissioners,Hall County,County decision-maker,Current board roster,High,https://www.hallcounty.org/Directory.aspx?DID=93
Katie Greenway Ahmed,Director of Planning and Zoning,Hall County,Hall County,County staff gatekeeper,Named director March 2026 after serving as Planning and Zoning Administrator,High,https://www.hallcounty.org/m/newsflash/home/detail/1484
Kristie Turner,Director of Development Services,Hall County,Hall County,County staff gatekeeper,Named director effective May 2025,High,https://www.hallcounty.org/m/newsflash/home/detail/1392
Hines,Developer,Hines,Thurmon Tanner Logistics,Developer,Started construction on three-building more-than-825k-SF project,High,https://www.hines.com/news/hines-starts-construction-on-thurmon-tanner-logistics
Ryan Wood,Managing Director,Hines,Thurmon Tanner Logistics,Developer representative,Quoted Hines project lead,High,https://www.hines.com/news/hines-starts-construction-on-thurmon-tanner-logistics
Alliance Industrial Co,Developer,Alliance Industrial Co,Alliance 985 Business Park,Developer,Acquired 66.8-acre I-985 site and announced two-building spec development,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
Chris Hoag,Industrial broker,Avison Young,Alliance 985 Business Park,Broker,Buyer representation team,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
Jason Holland,Industrial broker,Avison Young,Alliance 985 Business Park,Broker,Buyer representation team,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
Andrew Joyner,Industrial broker,Avison Young,Alliance 985 Business Park,Broker,Buyer representation team,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
Stephen Lovett,Broker,Norton Commercial,Alliance 985 Business Park,Broker,Seller representation on a parcel,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
Zach Tibbs,Broker,Norton Commercial,Alliance 985 Business Park,Broker,Seller representation on a parcel,High,https://rebusinessonline.com/avison-young-arranges-sale-of-66-8-acres-near-new-northeast-georgia-inland-port/
CA Ventures,Developer client,CA Ventures,Project Falcon,Developer,Named client for two-phase industrial project,High,https://www.reevesyoung.com/case-study/project-falcon/
Reeves + Young,General contractor,Reeves + Young,Project Falcon,General contractor,Delivered five-building industrial case study and complex sewer infrastructure,High,https://www.reevesyoung.com/case-study/project-falcon/
Pattillo Industrial Real Estate,Developer,Pattillo,Flowery Branch Business Center,Developer,Active BTS land sponsor; Hall County report notes 200k-SF Flowery Branch plan,High,https://www.hallcounty.org/DocumentCenter/View/16821/2025-Annual-Comprehensive-Financial-Report
Ben Stafford,VP New Investments,Pattillo Industrial Real Estate,Flowery Branch Business Center,Developer representative,Named in local reporting on grading and project scope,Medium,https://www.yahoo.com/news/whats-grading-off-thurmon-tanner-194800309.html
Vulcan Lands Inc.,Applicant,Vulcan Lands,2021 quarry request,Applicant,Named annexation/M-2/CUP applicant,High,https://flowerybranchga.granicus.com/DocumentViewer.php?file=flowerybranchga_e40a2aa6-5a5e-4b11-b343-d2cade1fd265.pdf&view=1
Adam Hazell,DRI contact,Georgia Mountains Regional Commission,Regional review,Regional planning contact,GMRC DRI program contact,High,https://www.gmrc.ga.gov/dri
Nikki Chandler,VP Existing Industry,Greater Hall Chamber,Countywide,Market and economic-development stakeholder,Existing-industry program contact,High,https://www.ghcc.com/economic-development/existing-industry-program/
Gainesville-Hall County Development Authority,Industrial incentive authority,Gainesville-Hall County Development Authority,Countywide,Incentive stakeholder,Can use Investment Assistance Program for qualifying industrial projects,High,https://www.hallcounty.org/DocumentCenter/View/16821/2025-Annual-Comprehensive-Financial-Report
