name,role,organization,jurisdiction_or_case,player_type,evidence_based_signal,source_url,confidence
Dillon Anthony,Planning and Development Superintendent / Building Inspector,City of Commerce,Taylor & Mathis Commerce case,Staff gatekeeper,Requested/presented Taylor & Mathis agenda items and clarified acreage/parcel details,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546,High
Taylor & Mathis Inc.,Applicant,Taylor & Mathis Inc.,Commerce distribution center / truck terminal,Developer/applicant,Applicant for annexation rezoning and conditional use for 121.373-acre distribution center with truck terminals and warehouse/storage,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546,High
Mahaffey Pickens Tucker LLP,Zoning counsel/applicant representative,Mahaffey Pickens Tucker LLP,Commerce distribution center / truck terminal,Zoning counsel,Listed as c/o applicant representative for Taylor & Mathis Commerce cases,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546,High
Anthony L. Wood Jr. and Benjamin A. Wood,Property owners,Private owners,Commerce distribution center / truck terminal,Landowner,Listed as property owners for parcels 020 002 and 020 008,https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546,High
Debbie Martin,Mayor,City of Hoschton,Hoschton,Current decision-maker,Current Mayor,https://www.cityofhoschton.net/directory-listing/mariya-bentz,High
Kurt Ward,Mayor,Town of Braselton,Braselton Jackson County area,Current decision-maker,Mayor and voting member of Town Council,https://www.braseltonmayor.org/town-council,Medium
Becky Richardson,District 1 Councilmember / Mayor Pro Tem,Town of Braselton,Braselton Jackson County area,Current decision-maker,Listed Town Council member,https://www.braseltonmayor.org/town-council,Medium
Richard Harper,District 2 Councilmember,Town of Braselton,Braselton Jackson County area,Current decision-maker,Listed Town Council member,https://www.braseltonmayor.org/town-council,Medium
Tom Logan,District 3 Councilmember,Town of Braselton,Braselton Jackson County area,Current decision-maker,Listed Town Council member,https://www.braseltonmayor.org/town-council,Medium
James Murphy,District 4 Councilmember,Town of Braselton,Braselton Jackson County area,Current decision-maker,Listed Town Council member,https://www.braseltonmayor.org/town-council,Medium
