"ledger_id","market","case","meeting_date","meeting_body","agenda_or_case_reference","original_zoning_or_context","recording_status","recording_url","minutes_or_agenda_url","targeted_transcript_status","priority","notes","local_recording_path","local_source_packet_path","local_evidence_extract_path"
"JC-001","Jackson County","Wayne Poultry Road","2021-09-20","Jackson County BOC","MA-21-0078 map amendment","Industrial requested from Agricultural Forestry FLUM; character Agricultural to Urban","Minutes/agenda public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_09202021-440","Minutes-led extraction","1","Minutes identify Jamie Dove Stanton Porter and public question; seek any separate BOC video archive only if publicly exposed","","source-packets/jackson-county/JC-001_2022-02-21_BOC_Wayne-Poultry-Whoville-Ingram_minutes.pdf; source-packets/jackson-county/JC-001A_2022-02-24_PC_Wayne-Poultry_packet.pdf; source-packets/jackson-county/DRI3360_Wayne-Poultry_FinalReport.pdf; source-packets/jackson-county/DRI3619_Wayne-Poultry-Road_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-002","Jackson County","Concord Road Light Industrial","2021-08-02","Jefferson-Talmo Planning Commission","R-21-J02 and V-21-J06","C-2 Highway Business requested to LI","Official IQM2 packet downloaded; video availability not verified","","https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1469","Packet-led extraction","1","PC recommended approval 6-0 with staff conditions plus cemetery-law condition; verify final signed action separately","","source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1469_FileOpen_aspx_Type_4_ID_4893_MeetingID_1469.pdf; source-packets/jackson-county/DRI3354_Concord-Road-Light-Industrial_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-003","Jackson County","Concord Road Light Industrial","2021-08-09","Jefferson City Council Work Session","R-21-J02 and V-21-J06","C-2 Highway Business requested to LI","Official IQM2 Council packet downloaded; final signed vote still to isolate","","https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1470","Packet-led extraction","1","Council packet includes staff reports and ordinance attachments for R-21-J02 and V-21-J06; secondary index reports approval but official motion/signed ordinance still should be pulled","","source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1470_FileOpen_aspx_Type_4_ID_4904_MeetingID_1470.pdf; source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1470_FileOpen_aspx_Type_4_ID_4908_MeetingID_1470.pdf; source-packets/jackson-county/DRI3354_Concord-Road-Light-Industrial_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-004","Jackson County","Project Fortune","2021","City of Pendergrass","Permit actions following DRI 3239","Pre-development zoning to confirm","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","1","At least 3M SF warehousing; search City archive and council packets by parcels 092 001 and 092 030","","source-packets/jackson-county/DRI3239_Project-Fortune_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-005","Jackson County","Jackson Quarry / Vulcan expansion","2022-03 to 2022-04","Jackson County Planning Commission and BOC","HI rezone plus special use","Five GI parcels and two A-2 parcels","Minutes/agenda public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_04182022-476","Minutes-led extraction","1","Target right-of-way truck traffic buffers wetlands and stated conditions","","source-packets/jackson-county/JC-005_2022-04-18_BOC_Jackson-Quarry_minutes.pdf; source-packets/jackson-county/DRI3593_Jackson-Quarry_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-006","Jackson County","Hog Mountain Site","2022-05 onward","Jefferson-Talmo Planning Commission and City Council","Annexation LI rezone and variances","Mix of A-2 and LI","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","1","125-acre two-warehouse project; index by 1250-1700 Hog Mountain Road and applicant Oakmont Pacolet","","source-packets/jackson-county/DRI3681_Hog-Mountain-Site_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-007","Jackson County","Valentine Business Center","2022-04-28","Jackson County Planning Commission","GI rezone application","A-2 Agricultural Rural Farm","Agenda/packet public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/PreviousVersions/_04282022-477","Minutes-led extraction pending final BOC meeting","1","Two office-distribution buildings stated in agenda search; also identify May 16 BOC public hearing","","source-packets/jackson-county/JC-007_2022-04-28_PC_Valentine_packet.pdf; source-packets/jackson-county/DRI3714_Valentine-Business-Center_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-008","Jackson County","Valentine Business Center","2022-07-18","Jackson County BOC","RZ-22-0122 and RZ-22-0123 final rezoning action","A-2 Agricultural Rural Farm to GI General Industrial","Minutes/agenda public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_07182022-492","Minutes-led extraction","1","Final local approval verified 3-0 with two conditions: Bill Wright Road upgrade/realignment approval by Road Department and adherence to all stream/zoning buffers","","source-packets/jackson-county/JC-016_2022-07-18_BOC_Valentine-Business-Center_minutes.pdf; source-packets/jackson-county/DRI3714_Valentine-Business-Center_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-009","Jackson County","7-Eleven and Peterbilt","2023","Jackson County Planning Commission and BOC","HRC rezone plus truck-stop special use","Pre-development zoning to confirm","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","1","Index by Axis Hutton parcels 078/009A and 065/001; core truck-service precedent","","source-packets/jackson-county/DRI3936_7-Eleven-Peterbilt_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-010","Jackson County","Hwy 124 / Maddox Road","2024","Jackson County Planning Commission and BOC","HRC rezone for trucking drop lot","A-2 Agricultural Rural Farm","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","2","Use as plan-conflict and truck-drop-lot counterexample","","source-packets/jackson-county/DRI4228_Hwy124-Maddox-Road_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-011","Jackson County","Choice Equipment Company Airport Road","2026","Jackson County Planning Commission and BOC","DRI 4754 local action to identify","To be confirmed","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","2","Newest case; pull DRI packet and exact address before agenda search","","source-packets/jackson-county/DRI4754_Choice-Equipment_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-012","Jackson County","Rush Truck Centers","2025-11-03 to 2025-11-24","Jefferson-Talmo Planning Commission and City Council","R-25-J05 and CU-25-J06","LI conditional","Official PC agenda and Council voting packet downloaded; final signed vote still to isolate","","https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1689","Packet-led extraction","2","Staff and PC recommendation approval found; draft ordinance conditions include 79,279-SF/13-percent building cap, stormwater prerequisite, and two Hog Mountain Road curb cuts","","source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1689_FileOpen_aspx_Type_4_ID_6859_MeetingID_1689.pdf; source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1689_FileOpen_aspx_Type_4_ID_6860_MeetingID_1689.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-013","Jackson County","RaceTrac Extended Diesel Offer","2025","Jefferson-Talmo Planning Commission and City Council","DRI 4420 / local permit action","Existing zoning to confirm","Meeting source not yet identified","","","PDF evidence extracted; meeting video/audio still open","2","Distinguish DRI completion from final City action","","source-packets/jackson-county/DRI4420_RaceTrac-Extended-Diesel_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-014","Jackson County","Project Orchid","2026-06-01","Jefferson-Talmo Planning Commission","R-26-J03 / CU-26-J02 / V-26-J06","LI conditional per R-07-J30","Official IQM2 packet downloaded; final Council action not verified","","https://jeffersoncityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1717","Packet-led extraction","2","Staff packet verifies LI condition modification, metal manufacturing CUP, parking variance, Project Orchid presentation, no-new-traffic-study position, buffer/impervious-surface issues, and 1,500 phase-one / 3,000 buildout employment framing","","source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1717_FileOpen_aspx_Type_4_ID_7056_MeetingID_1717.pdf; source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1717_FileOpen_aspx_Type_4_ID_7058_MeetingID_1717.pdf; source-packets/jackson-county/jefferson-iqm2/Jefferson_IQM2_1717_FileOpen_aspx_Type_4_ID_7064_MeetingID_1717.pdf; source-packets/jackson-county/DRI4640_Project-Orchid_FinalReport.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-015","Jackson County","Tom White Road / East Group office-distribution business park","2022-05-16","Jackson County BOC","RZ-22-0116 and RZ-22-0117","A-2 Agricultural Rural Farm to LI Light Industrial","Minutes/agenda public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_05162022-480","Minutes-led extraction","1","Final local approval verified 4-0 with two conditions across 41.67 acres: Tom White Road upgrades from Hwy 124 to project entrance and adherence to stream/zoning buffers","","source-packets/jackson-county/JC-008_2022-05-16_BOC_Valentine_minutes.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-016","Jackson County","Whoville Partners Old State Road","2022-03-21","Jackson County BOC","MA-21-0088 withdrawal after tabled map amendment","Agriculture character area and Agricultural/Forestry FLUM proposed to Urban and Industrial","Minutes/agenda public; no media link in historical archive","","https://www.jacksoncountygov.com/AgendaCenter/ViewFile/Minutes/_03212022-470","Minutes-led extraction","1","Final disposition verified: BOC accepted applicant withdrawal without prejudice 5-0 after staff and Planning Commission denial recommendations","","source-packets/jackson-county/JC-017_2022-03-21_BOC_Whoville-withdrawal_minutes.pdf","transcripts/JC_targeted_evidence_extract.txt"
"JC-017","Jackson County","Taylor & Mathis Commerce distribution center / truck terminal","2024-10-28 to 2024-11-18","City of Commerce Planning Commission and City Council","PAX24-0004 annexation / PR24-0013 rezoning / PC24-0004 conditional use","A-2 Agricultural Rural Farm in unincorporated Jackson County and C-2 General Commercial in City of Commerce to M-1 Light Industrial","Official Commerce Granicus records downloaded and extracted","","https://commercega.granicus.com/MinutesViewer.php?view_id=1&clip_id=409&doc_id=7aa825a7-6685-11f0-b7f5-005056a89546","Packet-led extraction","1","Final local approval verified: City Council approved annexation, rezoning, and conditional use unanimously on Nov. 18, 2024; Planning Commission recommended approval unanimously on Oct. 28, 2024 with three conditions.","","source-packets/jackson-county/commerce/commerce_2024-11-18_council_minutes_taylor_mathis.pdf; source-packets/jackson-county/commerce/commerce_2024-11-18_council_agenda_taylor_mathis.pdf; source-packets/jackson-county/commerce/commerce_2024-11-18_minutes_taylor_mathis.html","source-packets/jackson-county/commerce/commerce_2024-11-18_council_minutes_taylor_mathis.txt; source-packets/jackson-county/commerce/commerce_2024-11-18_minutes_taylor_mathis.txt"
